0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "GET /APP_TRIP_TJDX/prjPages/prjJSs/id1a33485dfd486dc3f0086010ea2d4fda7c01dd9b.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7-css/icon-plusitem.svg HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 7681
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_bindSQLDataBackend.action HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7-css/icon_trashbin.svg HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7-css/icon-form-camera.svg HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:09 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:10 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:11 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:17 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:17 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:17 +0800] "POST /APP_TRIP_TJDX/commonUpdate_responseButtonEventById.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:18 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:18 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:18 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:18 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:18 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:29:23 +0800] "POST /APP_TRIP_TJDX/common_getBindingDataBackend.action HTTP/1.1" 200 30
